order_id,created_at,website_session_id,user_id,primary_product_id,items_purchased,price_usd,cogs_usd,order_time,order_date
1,42:46.0,20,20,1,1,49.99,19.49,42:46.0,19-03-2012
2,27:37.0,104,104,1,1,49.99,19.49,27:37.0,19-03-2012
3,44:45.0,147,147,1,1,49.99,19.49,44:45.0,20-03-2012
4,41:45.0,160,160,1,1,49.99,19.49,41:45.0,20-03-2012
5,28:15.0,177,177,1,1,49.99,19.49,28:15.0,20-03-2012
6,12:47.0,232,232,1,1,49.99,19.49,12:47.0,20-03-2012
7,03:41.0,241,241,1,1,49.99,19.49,03:41.0,20-03-2012
8,35:27.0,295,295,1,1,49.99,19.49,35:27.0,20-03-2012
9,35:01.0,304,304,1,1,49.99,19.49,35:01.0,21-03-2012
10,45:58.0,317,317,1,1,49.99,19.49,45:58.0,21-03-2012
11,28:02.0,321,321,1,1,49.99,19.49,28:02.0,21-03-2012
12,21:33.0,327,327,1,1,49.99,19.49,21:33.0,21-03-2012
13,45:32.0,332,332,1,1,49.99,19.49,45:32.0,21-03-2012
14,12:05.0,336,336,1,1,49.99,19.49,12:05.0,21-03-2012
15,40:06.0,428,428,1,1,49.99,19.49,40:06.0,21-03-2012
16,13:05.0,434,434,1,1,49.99,19.49,13:05.0,21-03-2012
17,28:11.0,465,465,1,1,49.99,19.49,28:11.0,21-03-2012
18,15:33.0,507,507,1,1,49.99,19.49,15:33.0,22-03-2012
19,03:49.0,536,536,1,1,49.99,19.49,03:49.0,22-03-2012
20,49:57.0,615,615,1,1,49.99,19.49,49:57.0,22-03-2012
21,33:40.0,639,639,1,1,49.99,19.49,33:40.0,22-03-2012
22,09:46.0,732,732,1,1,49.99,19.49,09:46.0,23-03-2012
23,16:23.0,750,750,1,1,49.99,19.49,16:23.0,23-03-2012
24,14:48.0,783,783,1,1,49.99,19.49,14:48.0,23-03-2012
25,21:40.0,844,844,1,1,49.99,19.49,21:40.0,24-03-2012
26,32:41.0,908,908,1,1,49.99,19.49,32:41.0,25-03-2012
27,51:27.0,909,909,1,1,49.99,19.49,51:27.0,25-03-2012
28,00:12.0,940,940,1,1,49.99,19.49,00:12.0,25-03-2012
29,23:16.0,954,954,1,1,49.99,19.49,23:16.0,25-03-2012
30,03:39.0,1018,1016,1,1,49.99,19.49,03:39.0,26-03-2012
31,25:44.0,1023,1021,1,1,49.99,19.49,25:44.0,26-03-2012
32,13:56.0,1059,1055,1,1,49.99,19.49,13:56.0,26-03-2012
33,00:19.0,1081,1077,1,1,49.99,19.49,00:19.0,26-03-2012
34,55:25.0,1094,1090,1,1,49.99,19.49,55:25.0,26-03-2012
35,06:39.0,1098,1094,1,1,49.99,19.49,06:39.0,26-03-2012
36,54:41.0,1105,1101,1,1,49.99,19.49,54:41.0,26-03-2012
37,19:25.0,1107,1103,1,1,49.99,19.49,19:25.0,26-03-2012
38,13:07.0,1125,1121,1,1,49.99,19.49,13:07.0,26-03-2012
39,18:43.0,1243,1238,1,1,49.99,19.49,18:43.0,27-03-2012
40,53:30.0,1256,1251,1,1,49.99,19.49,53:30.0,27-03-2012
41,30:06.0,1330,1325,1,1,49.99,19.49,30:06.0,28-03-2012
42,56:58.0,1343,1337,1,1,49.99,19.49,56:58.0,28-03-2012
43,55:52.0,1419,1412,1,1,49.99,19.49,55:52.0,28-03-2012
44,24:10.0,1454,1447,1,1,49.99,19.49,24:10.0,28-03-2012
45,45:52.0,1463,1456,1,1,49.99,19.49,45:52.0,28-03-2012
46,11:05.0,1581,1574,1,1,49.99,19.49,11:05.0,29-03-2012
47,49:07.0,1605,1598,1,1,49.99,19.49,49:07.0,29-03-2012
48,09:30.0,1643,1635,1,1,49.99,19.49,09:30.0,29-03-2012
49,25:18.0,1646,1638,1,1,49.99,19.49,25:18.0,30-03-2012
50,27:35.0,1654,1646,1,1,49.99,19.49,27:35.0,30-03-2012
51,06:25.0,1685,1677,1,1,49.99,19.49,06:25.0,30-03-2012
52,24:06.0,1691,1683,1,1,49.99,19.49,24:06.0,30-03-2012
53,47:30.0,1709,1701,1,1,49.99,19.49,47:30.0,30-03-2012
54,26:49.0,1726,1718,1,1,49.99,19.49,26:49.0,30-03-2012
55,39:09.0,1729,1721,1,1,49.99,19.49,39:09.0,30-03-2012
56,22:18.0,1790,1782,1,1,49.99,19.49,22:18.0,31-03-2012
57,32:43.0,1802,1794,1,1,49.99,19.49,32:43.0,31-03-2012
58,40:10.0,1807,1799,1,1,49.99,19.49,40:10.0,31-03-2012
59,25:39.0,1823,1815,1,1,49.99,19.49,25:39.0,31-03-2012
60,24:33.0,1863,1855,1,1,49.99,19.49,24:33.0,31-03-2012
61,45:11.0,1890,1882,1,1,49.99,19.49,45:11.0,01-04-2012
62,38:27.0,1912,1902,1,1,49.99,19.49,38:27.0,01-04-2012
63,33:26.0,1939,1929,1,1,49.99,19.49,33:26.0,01-04-2012
64,26:19.0,1944,1934,1,1,49.99,19.49,26:19.0,01-04-2012
65,07:48.0,2036,2025,1,1,49.99,19.49,07:48.0,02-04-2012
66,32:15.0,2089,2076,1,1,49.99,19.49,32:15.0,02-04-2012
67,17:42.0,2102,2089,1,1,49.99,19.49,17:42.0,02-04-2012
68,36:27.0,2115,2102,1,1,49.99,19.49,36:27.0,02-04-2012
69,29:20.0,2210,2196,1,1,49.99,19.49,29:20.0,03-04-2012
70,53:36.0,2231,2217,1,1,49.99,19.49,53:36.0,03-04-2012
71,03:48.0,2262,2247,1,1,49.99,19.49,03:48.0,03-04-2012
72,31:50.0,2291,2276,1,1,49.99,19.49,31:50.0,03-04-2012
73,36:02.0,2295,1752,1,1,49.99,19.49,36:02.0,03-04-2012
74,09:43.0,2325,2309,1,1,49.99,19.49,09:43.0,03-04-2012
75,47:38.0,2392,2376,1,1,49.99,19.49,47:38.0,04-04-2012
76,13:55.0,2422,2405,1,1,49.99,19.49,13:55.0,04-04-2012
77,34:52.0,2431,2414,1,1,49.99,19.49,34:52.0,04-04-2012
78,21:44.0,2514,2495,1,1,49.99,19.49,21:44.0,04-04-2012
79,00:06.0,2522,2503,1,1,49.99,19.49,00:06.0,04-04-2012
80,34:00.0,2624,383,1,1,49.99,19.49,34:00.0,05-04-2012
81,15:34.0,2668,2644,1,1,49.99,19.49,15:34.0,05-04-2012
82,11:27.0,2770,2746,1,1,49.99,19.49,11:27.0,05-04-2012
83,04:23.0,2810,2786,1,1,49.99,19.49,04:23.0,06-04-2012
84,16:39.0,2879,2854,1,1,49.99,19.49,16:39.0,06-04-2012
85,13:09.0,2942,2916,1,1,49.99,19.49,13:09.0,06-04-2012
86,48:48.0,2982,2956,1,1,49.99,19.49,48:48.0,06-04-2012
87,47:20.0,3000,2972,1,1,49.99,19.49,47:20.0,07-04-2012
88,15:03.0,3040,3012,1,1,49.99,19.49,15:03.0,07-04-2012
89,55:38.0,3044,3016,1,1,49.99,19.49,55:38.0,07-04-2012
90,25:16.0,3077,3048,1,1,49.99,19.49,25:16.0,08-04-2012
91,52:53.0,3082,3053,1,1,49.99,19.49,52:53.0,08-04-2012
92,50:48.0,3137,3107,1,1,49.99,19.49,50:48.0,08-04-2012
93,10:18.0,3139,3109,1,1,49.99,19.49,10:18.0,08-04-2012
94,33:08.0,3147,3116,1,1,49.99,19.49,33:08.0,08-04-2012
95,49:50.0,3189,3158,1,1,49.99,19.49,49:50.0,09-04-2012
96,50:14.0,3188,3157,1,1,49.99,19.49,50:14.0,09-04-2012
97,25:30.0,3208,3177,1,1,49.99,19.49,25:30.0,09-04-2012
98,01:23.0,3247,3215,1,1,49.99,19.49,01:23.0,09-04-2012
99,48:47.0,3295,3263,1,1,49.99,19.49,48:47.0,09-04-2012
100,28:57.0,3299,3267,1,1,49.99,19.49,28:57.0,09-04-2012
101,56:37.0,3318,3285,1,1,49.99,19.49,56:37.0,09-04-2012
102,25:30.0,3322,3289,1,1,49.99,19.49,25:30.0,09-04-2012
103,21:17.0,3421,3386,1,1,49.99,19.49,21:17.0,10-04-2012
104,40:18.0,3446,3411,1,1,49.99,19.49,40:18.0,10-04-2012
105,27:09.0,3496,3460,1,1,49.99,19.49,27:09.0,10-04-2012
106,13:17.0,3604,3565,1,1,49.99,19.49,13:17.0,11-04-2012
107,22:47.0,3618,3579,1,1,49.99,19.49,22:47.0,11-04-2012
108,38:56.0,3642,3602,1,1,49.99,19.49,38:56.0,11-04-2012
109,19:28.0,3683,3642,1,1,49.99,19.49,19:28.0,11-04-2012
110,59:27.0,3689,3648,1,1,49.99,19.49,59:27.0,11-04-2012
111,03:06.0,3746,3703,1,1,49.99,19.49,03:06.0,12-04-2012
112,51:25.0,3765,3722,1,1,49.99,19.49,51:25.0,12-04-2012
113,30:14.0,3789,811,1,1,49.99,19.49,30:14.0,12-04-2012
114,50:47.0,3807,3761,1,1,49.99,19.49,50:47.0,12-04-2012
115,13:16.0,3873,3824,1,1,49.99,19.49,13:16.0,13-04-2012
116,53:49.0,3947,3895,1,1,49.99,19.49,53:49.0,13-04-2012
117,26:48.0,4100,4047,1,1,49.99,19.49,26:48.0,14-04-2012
118,00:37.0,4119,4065,1,1,49.99,19.49,00:37.0,15-04-2012
119,20:39.0,4130,4076,1,1,49.99,19.49,20:39.0,15-04-2012
120,10:58.0,4136,4082,1,1,49.99,19.49,10:58.0,15-04-2012
121,36:31.0,4140,4086,1,1,49.99,19.49,36:31.0,15-04-2012
122,22:52.0,4224,3313,1,1,49.99,19.49,22:52.0,16-04-2012
123,54:24.0,4232,4174,1,1,49.99,19.49,54:24.0,16-04-2012
124,03:23.0,4235,4177,1,1,49.99,19.49,03:23.0,16-04-2012
125,59:57.0,4249,4191,1,1,49.99,19.49,59:57.0,16-04-2012
126,33:33.0,4258,167,1,1,49.99,19.49,33:33.0,16-04-2012
127,20:42.0,4372,455,1,1,49.99,19.49,20:42.0,17-04-2012
128,28:38.0,4420,4346,1,1,49.99,19.49,28:38.0,18-04-2012
129,10:33.0,4437,4362,1,1,49.99,19.49,10:33.0,18-04-2012
